"state","species","total"
"California","California Quail,Golden-Crowned Sparrow,House Sparrow",1
"California","California Quail,Golden-Crowned Sparrow,Lesser Goldfinch",1
"California","California Quail,Golden-Crowned Sparrow,Pine Siskin",1
"California","California Quail,Golden-Crowned Sparrow,Purple Finch",1
"California","California Quail,Gray Catbird",1
"California","California Quail,Great-Tailed Grackle,Scaly-Breasted Munia",1
"California","California Quail,Hairy Woodpecker",1
"California","California Quail,Hepatic Tanager,Hummingbird,Lewiss Woodpecker,Spotted Towhee",1
"California","California Quail,Hepatic Tanager,Purple Finch",1
"California","California Quail,Hepatic Tanager,Scaly-Breasted Munia",1
"California","California Quail,Hooded Oriole,Orange-Crowned Warbler",1
"California","California Quail,Hooded Oriole,Pygmy Nuthatch",1
"California","California Quail,Hooded Oriole,Red-Winged Blackbird",1
"California","California Quail,Hooded Oriole,Spotted Towhee",1
"California","California Quail,House Finch,Lark Sparrow",1
"California","California Quail,House Finch,Lesser Goldfinch,Scaly-Breasted Munia",1
"California","California Quail,House Finch,Lesser Goldfinch,White-Crowned Sparrow",1
"California","California Quail,House Finch,Northern Cardinal",1
"California","California Quail,House Finch,Nuttalls Woodpecker",1
"California","California Quail,House Finch,Red-Breasted Sapsucker",1
"California","California Quail,House Finch,Rose-Ringed Parakeet",1
"California","California Quail,House Sparrow,Lesser Goldfinch",1
"California","California Quail,House Sparrow,Mountain Chickadee",1
"California","California Quail,House Sparrow,Pine Siskin",1
"California","California Quail,House Sparrow,Spotted Dove",1
"California","California Quail,House Sparrow,Spotted Towhee",1
"California","California Quail,House Sparrow,White-Winged Dove",1
"California","California Quail,Lazuli Bunting,Lewiss Woodpecker",1
"California","California Quail,Lazuli Bunting,White-Crowned Sparrow",1
"California","California Quail,Lesser Goldfinch,Northern Cardinal",1
"California","California Quail,Lesser Goldfinch,Pine Siskin",1
"California","California Quail,Lesser Goldfinch,White-Winged Dove",1
"California","California Quail,Lewiss Woodpecker,Spotted Towhee",1
"California","California Quail,Lewiss Woodpecker,Stellers Jay",1
"California","California Quail,Mountain Chickadee,Red-Breasted Sapsucker",1
"California","California Quail,Mourning Dove,Northern Cardinal",1
"California","California Quail,Northern Cardinal,Scaly-Breasted Munia",1
"California","California Quail,Northern Red Bishop",1
"California","California Quail,Nuttalls Woodpecker,Scaly-Breasted Munia",1
"California","California Quail,Orchard Oriole",1
"California","California Quail,Pacific Wren",1
"California","California Quail,Pacific Wren,Scaly-Breasted Munia",1
"California","California Quail,Pine Siskin,Purple Finch",1
"California","California Quail,Pine Siskin,Spotted Towhee",1
"California","California Quail,Purple Finch,Spotted Towhee",1
"California","California Quail,Red-Naped Sapsucker",1
"California","California Quail,Spotted Towhee,Varied Bunting",1
"California","California Quail,Verdin",1
"California","California Quail,White-Throated Sparrow",1
"California","California Quail,Woodhouses Scrub-Jay",1
"California","California Quail,Yellow-Bellied Sapsucker",1
"California","California Quail,Yellow-Headed Blackbird",1
"California","California Scrub-Jay,California Thrasher,Lewiss Woodpecker",1
"California","California Scrub-Jay,California Towhee,Scaly-Breasted Munia",1
"California","California Scrub-Jay,Carolina Wren,Scaly-Breasted Munia",1
"California","California Scrub-Jay,Chipping Sparrow",1
"California","California Scrub-Jay,Clarks Nutcracker",1
"California","California Scrub-Jay,Clarks Nutcracker,White-Crowned Sparrow",1
"California","California Scrub-Jay,Common Ground-Dove",1
"California","California Scrub-Jay,Dark-Eyed Junco,Scaly-Breasted Munia",1
"California","California Scrub-Jay,Fox Sparrow,Golden-Crowned Sparrow",1
"California","California Scrub-Jay,Fox Sparrow,Lewiss Woodpecker",1
"California","California Scrub-Jay,Golden-Crowned Sparrow,White-Winged Dove",1
"California","California Scrub-Jay,Great-Tailed Grackle,House Sparrow",1
"California","California Scrub-Jay,Hepatic Tanager,Purple Finch",1
"California","California Scrub-Jay,House Finch,Pine Siskin",1
"California","California Scrub-Jay,House Finch,Red Crossbill",1
"California","California Scrub-Jay,House Finch,Rose-Ringed Parakeet",1
"California","California Scrub-Jay,House Finch,Scaly-Breasted Munia",1
"California","California Scrub-Jay,House Finch,Spotted Towhee",1
"California","California Scrub-Jay,House Finch,Varied Bunting",1
"California","California Scrub-Jay,House Sparrow,Lesser Goldfinch",1
"California","California Scrub-Jay,House Sparrow,Mourning Dove",1
"California","California Scrub-Jay,House Sparrow,Pine Siskin",1
"California","California Scrub-Jay,House Sparrow,Red-Winged Blackbird",1
"California","California Scrub-Jay,House Sparrow,Scaly-Breasted Munia",1
"California","California Scrub-Jay,House Sparrow,Stellers Jay,White-Winged Dove",1
"California","California Scrub-Jay,House Sparrow,White-Winged Dove",1
"California","California Scrub-Jay,Hummingbird",1
"California","California Scrub-Jay,Lesser Goldfinch,Mourning Dove",1
"California","California Scrub-Jay,Lesser Goldfinch,Purple Finch",1
"California","California Scrub-Jay,Lesser Goldfinch,Stellers Jay",1
"California","California Scrub-Jay,Mountain Bluebird,Western Bluebird",1
"California","California Scrub-Jay,Mourning Dove,Scaly-Breasted Munia",1
"California","California Scrub-Jay,Northern Cardinal",1
"California","California Scrub-Jay,Orange-Crowned Warbler",1
"California","California Scrub-Jay,Orchard Oriole",1
"California","California Scrub-Jay,Pileated Woodpecker",1
"California","California Scrub-Jay,Pine Siskin,Purple Finch",1
"California","California Scrub-Jay,Pine Siskin,Scaly-Breasted Munia",1
"California","California Scrub-Jay,Pine Siskin,Spotted Towhee",1
"California","California Scrub-Jay,Pine Siskin,White-Crowned Sparrow",1
"California","California Scrub-Jay,Red-Winged Blackbird,Scaly-Breasted Munia",1
"California","California Scrub-Jay,Spotted Dove",1
"California","California Scrub-Jay,Summer Tanager,White-Crowned Sparrow",1
"California","California Scrub-Jay,Tyrant Flycatcher",1
"California","California Scrub-Jay,Varied Thrush",1
"California","California Scrub-Jay,White-Breasted Nuthatch",1
"California","California Scrub-Jay,White-Throated Sparrow",1
"California","California Thrasher,California Towhee,Scaly-Breasted Munia",1
"California","California Thrasher,Carolina Wren",1
"California","California Thrasher,Hepatic Tanager",1
"California","California Thrasher,House Finch,House Sparrow",1
"California","California Thrasher,Hummingbird",1
"California","California Thrasher,Lark Sparrow",1
"California","California Thrasher,Lesser Goldfinch,White-Winged Dove",1
"California","California Thrasher,Mountain Chickadee",1
"California","California Thrasher,Pinyon Jay",1
"California","California Thrasher,Rose-Breasted Grosbeak",1
"California","California Thrasher,White-Crowned Sparrow",1
"California","California Thrasher,Woodhouses Scrub-Jay",1
"California","California Towhee,Common Ground-Dove",1
"California","California Towhee,Common Starling,Red Crossbill",1
"California","California Towhee,Evening Grosbeak,Red-Whiskered Bulbul",1
"California","California Towhee,Evening Grosbeak,Scaly-Breasted Munia",1
"California","California Towhee,Evening Grosbeak,White-Winged Dove",1
"California","California Towhee,Golden-Crowned Sparrow,House Finch",1
"California","California Towhee,Great-Tailed Grackle",1
"California","California Towhee,Hepatic Tanager,Scaly-Breasted Munia",1
"California","California Towhee,Hooded Oriole,Mourning Dove",1
"California","California Towhee,Hooded Oriole,Northern Cardinal",1
"California","California Towhee,Hooded Oriole,White-Winged Dove",1
"California","California Towhee,House Finch,House Sparrow",1
"California","California Towhee,House Finch,Lincolns Sparrow",1
"California","California Towhee,House Finch,Mountain Bluebird",1
"California","California Towhee,House Finch,Purple Finch",1
"California","California Towhee,House Finch,Pygmy Nuthatch",1
"California","California Towhee,House Sparrow,Lesser Goldfinch",1
"California","California Towhee,House Sparrow,Lewiss Woodpecker",1
"California","California Towhee,House Sparrow,Northern Flicker",1
"California","California Towhee,House Sparrow,Pine Siskin",1
"California","California Towhee,House Wren",1
"California","California Towhee,Lesser Goldfinch,Mourning Dove",1
"California","California Towhee,Lesser Goldfinch,Purple Finch",1
"California","California Towhee,Lesser Goldfinch,Spotted Dove",1
"California","California Towhee,Lesser Goldfinch,Spotted Towhee",1
"California","California Towhee,Lesser Goldfinch,Summer Tanager",1
"California","California Towhee,Lewiss Woodpecker,Scaly-Breasted Munia",1
"California","California Towhee,Mountain Bluebird",1
"California","California Towhee,Mourning Dove,Purple Finch",1
"California","California Towhee,Mourning Dove,Scaly-Breasted Munia",1
"California","California Towhee,Northern Flicker",1
"California","California Towhee,Painted Bunting",1
"California","California Towhee,Pine Siskin,White-Crowned Sparrow",1
"California","California Towhee,Purple Finch,Varied Bunting",1
"California","California Towhee,Pygmy Nuthatch,Spotted Towhee",1
"California","California Towhee,Pygmy Nuthatch,White-Crowned Sparrow",1
"California","California Towhee,Red Crossbill,Spotted Towhee",1
"California","California Towhee,Red-Naped Sapsucker,Red-Whiskered Bulbul",1
"California","California Towhee,Red-Whiskered Bulbul,Rufous-Crowned Sparrow",1
"California","California Towhee,Red-Whiskered Bulbul,White-Crowned Sparrow",1
"California","California Towhee,Red-Winged Blackbird,Scaly-Breasted Munia",1
"California","California Towhee,Rose-Breasted Grosbeak",1
"California","California Towhee,Ruby-Crowned Kinglet",1
"California","California Towhee,Scaly-Breasted Munia,White-Crowned Sparrow",1
"California","California Towhee,Spotted Towhee,White-Winged Dove",1
"California","California Towhee,Varied Bunting,Western Tanager",1
"California","California Towhee,White-Throated Sparrow",1
"California","California Towhee,Woodhouses Scrub-Jay",1
"California","Canada Jay",1
"California","Canyon Towhee,Eurasian Collared Dove",1
"California","Canyon Towhee,House Sparrow",1
"California","Canyon Towhee,Red-Winged Blackbird",1
"California","Carolina Wren,Chipping Sparrow",1
"California","Carolina Wren,Clay-Colored Sparrow",1
"California","Carolina Wren,Common Starling",1
"California","Carolina Wren,Eurasian Collared Dove",1
"California","Carolina Wren,Hepatic Tanager,Pine Siskin",1
"California","Carolina Wren,Hooded Oriole",1
"California","Carolina Wren,House Finch,Lesser Goldfinch",1
"California","Carolina Wren,House Sparrow,Scaly-Breasted Munia",1
"California","Carolina Wren,Mourning Dove,White-Winged Dove",1
"California","Carolina Wren,Northern Red Bishop",1
"California","Carolina Wren,Pine Siskin",1
"California","Carolina Wren,Purple Finch,Scaly-Breasted Munia",1
"California","Carolina Wren,Red-Breasted Sapsucker",1
"California","Carolina Wren,Stellers Jay",1
"California","Carolina Wren,White-Headed Woodpecker",1
"California","Cedar Waxwing,Dark-Eyed Junco",1
"California","Cedar Waxwing,Eurasian Collared Dove",1
"California","Cedar Waxwing,Hepatic Tanager",1
"California","Cedar Waxwing,House Sparrow",1
"California","Cedar Waxwing,Lawrences Goldfinch",1
"California","Cedar Waxwing,Lesser Goldfinch,Lewiss Woodpecker",1
"California","Cedar Waxwing,Lesser Goldfinch,Purple Finch",1
"California","Cedar Waxwing,Mountain Chickadee",1
"California","Cedar Waxwing,Northern Cardinal",1
"California","Cedar Waxwing,White-Crowned Sparrow",1
"California","Chestnut-Backed Chickadee,Clarks Nutcracker,Spotted Towhee",1
"California","Chestnut-Backed Chickadee,Dark-Eyed Junco,White-Winged Dove",1
"California","Chestnut-Backed Chickadee,Downy Woodpecker",1
"California","Chestnut-Backed Chickadee,Eurasian Collared Dove",1
"California","Chestnut-Backed Chickadee,Feral Pigeon",1
"California","Chestnut-Backed Chickadee,Golden-Crowned Sparrow,Purple Finch",1
"California","Chestnut-Backed Chickadee,Hermit Thrush",1
"California","Chestnut-Backed Chickadee,House Sparrow,Mourning Dove",1
"California","Chestnut-Backed Chickadee,Lark Sparrow",1
"California","Chestnut-Backed Chickadee,Lesser Goldfinch,Song Sparrow",1
"California","Chestnut-Backed Chickadee,Mountain Chickadee",1
"California","Chestnut-Backed Chickadee,Pine Grosbeak",1
"California","Chestnut-Backed Chickadee,Pygmy Nuthatch",1
"California","Chestnut-Backed Chickadee,Rose-Ringed Parakeet",1
"California","Chestnut-Backed Chickadee,Summer Tanager",1
"California","Chestnut-Backed Chickadee,Western Tanager",1
"California","Chestnut-Backed Chickadee,White-Headed Woodpecker",1
"California","Chestnut-Backed Chickadee,White-Winged Dove",1
"California","Chestnut-Backed Chickadee,Yellow-Billed Magpie",1
"California","Chipping Sparrow,Clay-Colored Sparrow",1
"California","Chipping Sparrow,Downy Woodpecker",1
"California","Chipping Sparrow,Golden-Crowned Sparrow,House Sparrow",1
"California","Chipping Sparrow,Pygmy Nuthatch",1
"California","Chipping Sparrow,Red-Winged Blackbird",1
"California","Chipping Sparrow,Scaly-Breasted Munia",1
"California","Chipping Sparrow,Varied Bunting",1
"California","Clarks Nutcracker,House Finch,Lesser Goldfinch",1
"California","Clarks Nutcracker,Lewiss Woodpecker",1
"California","Clarks Nutcracker,Mountain Chickadee",1
"California","Clarks Nutcracker,Western Tanager",1
"California","Clay-Colored Sparrow,Golden-Crowned Sparrow",1
"California","Clay-Colored Sparrow,Lesser Goldfinch",1
"California","Clay-Colored Sparrow,Mourning Dove",1
"California","Clay-Colored Sparrow,Pine Siskin",1
"California","Common Ground-Dove,House Sparrow",1
"California","Common Ground-Dove,Lazuli Bunting",1
"California","Common Ground-Dove,Lewiss Woodpecker",1
"California","Common Ground-Dove,White-Winged Dove",1
"California","Common Starling,Eurasian Collared Dove",1
"California","Common Starling,Evening Grosbeak",1
"California","Common Starling,Hooded Oriole",1
"California","Common Starling,Northern Cardinal",1
"California","Common Starling,Pine Siskin,White-Crowned Sparrow",1
"California","Common Starling,Pygmy Nuthatch",1
"California","Common Starling,Ruddy Ground Dove",1
"California","Common Starling,White-Breasted Nuthatch",1
"California","Common Starling,Woodhouses Scrub-Jay",1
"California","Dark-Eyed Junco,Fox Sparrow",1
"California","Dark-Eyed Junco,Golden-Crowned Sparrow,White-Crowned Sparrow",1
"California","Dark-Eyed Junco,Great-Tailed Grackle",1
"California","Dark-Eyed Junco,House Finch,Lesser Goldfinch",1
"California","Dark-Eyed Junco,House Finch,Spotted Towhee",1
"California","Dark-Eyed Junco,House Sparrow,Spotted Towhee",1
"California","Dark-Eyed Junco,Lawrences Goldfinch",1
"California","Dark-Eyed Junco,Northern Flicker",1
"California","Dark-Eyed Junco,Northern Mockingbird",1
"California","Dark-Eyed Junco,Oak Titmouse",1
"California","Dark-Eyed Junco,Rose-Breasted Grosbeak",1
"California","Dark-Eyed Junco,Scotts Oriole",1
"California","Dark-Eyed Junco,Townsends Warbler",1
"California","Dark-Eyed Junco,Western Bluebird",1
"California","Dark-Eyed Junco,Western Tanager",1
"California","Downy Woodpecker,House Sparrow",1
"California","Downy Woodpecker,Mourning Dove",1
"California","Downy Woodpecker,Nuttalls Woodpecker",1
"California","Downy Woodpecker,Purple Finch",1
"California","Eurasian Collared Dove,Hepatic Tanager",1
"California","Eurasian Collared Dove,House Finch,Spotted Towhee",1
"California","Eurasian Collared Dove,House Finch,White-Winged Dove",1
"California","Eurasian Collared Dove,House Sparrow,Varied Bunting",1
"California","Eurasian Collared Dove,Mourning Dove,Western Tanager",1
"California","Eurasian Collared Dove,Mourning Dove,White-Winged Dove",1
"California","Eurasian Collared Dove,Northern Mockingbird",1
"California","Eurasian Collared Dove,Red-Whiskered Bulbul",1
"California","Eurasian Collared Dove,Red-Winged Blackbird",1
"California","Eurasian Collared Dove,Rose-Breasted Grosbeak",1
"California","Eurasian Collared Dove,Spotted Dove",1
"California","Evening Grosbeak,Feral Pigeon",1
"California","Evening Grosbeak,Gray-Crowned Rosy-Finch,House Finch",1
"California","Evening Grosbeak,Hooded Oriole,House Finch",1
"California","Evening Grosbeak,House Finch,Pine Siskin",1
"California","Evening Grosbeak,House Finch,Spotted Towhee",1
"California","Evening Grosbeak,House Finch,Varied Bunting",1
"California","Evening Grosbeak,House Finch,White-Crowned Sparrow",1
"California","Evening Grosbeak,House Sparrow,Lesser Goldfinch",1
"California","Evening Grosbeak,Lesser Goldfinch,Scaly-Breasted Munia",1
"California","Evening Grosbeak,Lesser Goldfinch,Western Tanager",1
"California","Evening Grosbeak,Mountain Bluebird",1
"California","Evening Grosbeak,Mourning Dove,Scaly-Breasted Munia",1
"California","Evening Grosbeak,Oak Titmouse",1
"California","Evening Grosbeak,Orange-Crowned Warbler",1
"California","Evening Grosbeak,Pileated Woodpecker",1
"California","Evening Grosbeak,Pine Siskin,Scaly-Breasted Munia",1
"California","Evening Grosbeak,Pine Siskin,White-Headed Woodpecker",1
"California","Evening Grosbeak,Pinyon Jay",1
"California","Evening Grosbeak,Purple Finch,Stellers Jay",1
"California","Evening Grosbeak,Pygmy Nuthatch",1
"California","Evening Grosbeak,Red Crossbill",1
"California","Evening Grosbeak,Rose-Breasted Grosbeak",1
"California","Evening Grosbeak,Rufous-Crowned Sparrow",1
"California","Evening Grosbeak,Spotted Dove",1
"California","Evening Grosbeak,Townsends Warbler",1
"California","Evening Grosbeak,Varied Bunting",1
"California","Evening Grosbeak,Woodhouses Scrub-Jay",1
"California","Feral Pigeon,House Sparrow,Scaly-Breasted Munia",1
"California","Feral Pigeon,Mourning Dove,White-Winged Dove",1
"California","Feral Pigeon,Nuttalls Woodpecker",1
"California","Feral Pigeon,Oak Titmouse",1
"California","Feral Pigeon,Pine Siskin",1
"California","Feral Pigeon,Pinyon Jay",1
"California","Feral Pigeon,Red Crossbill",1
"California","Feral Pigeon,Red-Breasted Sapsucker",1
"California","Feral Pigeon,Red-Winged Blackbird",1
"California","Feral Pigeon,Scaly-Breasted Munia",1
"California","Feral Pigeon,Stellers Jay",1
"California","Feral Pigeon,Western Tanager",1
"California","Feral Pigeon,White-Headed Woodpecker",1
"California","Fox Sparrow,Hepatic Tanager",1
"California","Fox Sparrow,Lark Sparrow",1
"California","Fox Sparrow,Lazuli Bunting",1
"California","Fox Sparrow,Mourning Dove",1
"California","Fox Sparrow,Northern Cardinal,Northern Flicker",1
"California","Fox Sparrow,Nuttalls Woodpecker",1
"California","Fox Sparrow,Pygmy Nuthatch",1
"California","Fox Sparrow,Red Crossbill",1
"California","Fox Sparrow,Red-Breasted Sapsucker",1
"California","Fox Sparrow,Ruddy Ground Dove",1
"California","Fox Sparrow,Rufous-Crowned Sparrow",1
"California","Fox Sparrow,Summer Tanager",1
"California","Fox Sparrow,White-Winged Dove",1
"California","Fox Sparrow,Yellow-Billed Magpie",1
"California","Gambels Quail,House Sparrow",1
"California","Gambels Quail,Mourning Dove",1
"California","Gambels Quail,Pyrrhuloxia",1
"California","Gambels Quail,White-Breasted Nuthatch",1
"California","Gambels Quail,White-Winged Dove",1
"California","Gambels Quail,Woodhouses Scrub-Jay",1
"California","Gila Woodpecker,White-Winged Dove",1
"California","Golden-Crowned Kinglet,Lesser Goldfinch",1
"California","Golden-Crowned Sparrow,Hermit Thrush",1
"California","Golden-Crowned Sparrow,House Finch,Purple Finch",1
"California","Golden-Crowned Sparrow,House Finch,Red Crossbill",1
"California","Golden-Crowned Sparrow,House Finch,Spotted Towhee",1
"California","Golden-Crowned Sparrow,House Finch,Varied Bunting",1
"California","Golden-Crowned Sparrow,House Sparrow,Mourning Dove",1
"California","Golden-Crowned Sparrow,House Sparrow,Stellers Jay",1
"California","Golden-Crowned Sparrow,Indigo Bunting",1
"California","Golden-Crowned Sparrow,Northern Red Bishop",1
"California","Golden-Crowned Sparrow,Oak Titmouse",1
"California","Golden-Crowned Sparrow,Orange-Crowned Warbler",1
"California","Golden-Crowned Sparrow,Red-Naped Sapsucker",1
"California","Golden-Crowned Sparrow,Rose-Ringed Parakeet,Spotted Towhee",1
"California","Golden-Crowned Sparrow,Scaly-Breasted Munia,Spotted Towhee",1
"California","Golden-Crowned Sparrow,Spotted Dove",1
"California","Golden-Crowned Sparrow,Townsends Warbler",1
"California","Golden-Crowned Sparrow,White-Breasted Nuthatch",1
"California","Golden-Crowned Sparrow,White-Headed Woodpecker",1
"California","Gray Catbird,Lazuli Bunting",1
"California","Gray Catbird,White-Headed Woodpecker",1
"California","Gray-Crowned Rosy-Finch,Spotted Towhee",1
"California","Gray-Crowned Rosy-Finch,Stellers Jay",1
"California","Gray-Crowned Rosy-Finch,Western Bluebird",1
"California","Gray-Crowned Rosy-Finch,Woodhouses Scrub-Jay",1
"California","Great-Tailed Grackle,Lesser Goldfinch",1
"California","Great-Tailed Grackle,Mourning Dove",1
"California","Great-Tailed Grackle,Purple Finch",1
"California","Great-Tailed Grackle,Red-Winged Blackbird",1
"California","Great-Tailed Grackle,Western Bluebird",1
"California","Great-Tailed Grackle,White-Winged Dove",1
"California","Green-Tailed Towhee,House Sparrow",1
"California","Green-Tailed Towhee,Mourning Dove",1
"California","Green-Tailed Towhee,Pine Siskin",1
"California","Green-Tailed Towhee,Spotted Towhee",1
"California","Green-Tailed Towhee,Summer Tanager",1
"California","Hairy Woodpecker,Lesser Goldfinch",1
"California","Hairy Woodpecker,Mountain Chickadee",1
"California","Hepatic Tanager,Hooded Oriole,Purple Finch",1
"California","Hepatic Tanager,House Finch,Pine Siskin",1
"California","Hepatic Tanager,House Finch,Purple Finch",1
"California","Hepatic Tanager,Hummingbird",1
"California","Hepatic Tanager,Lazuli Bunting",1
"California","Hepatic Tanager,Lewiss Woodpecker,Scaly-Breasted Munia",1
"California","Hepatic Tanager,Mountain Chickadee",1
"California","Hepatic Tanager,Northern Mockingbird",1
"California","Hepatic Tanager,Red-Whiskered Bulbul",1
"California","Hepatic Tanager,Rufous-Crowned Sparrow",1
"California","Hepatic Tanager,Scaly-Breasted Munia,Varied Bunting",1
"California","Hepatic Tanager,Song Sparrow",1
"California","Hepatic Tanager,Western Tanager",1
"California","Hepatic Tanager,White-Throated Sparrow",1
"California","Hermit Thrush,Scaly-Breasted Munia",1
"California","Hooded Oriole,House Finch,Nuttalls Woodpecker",1
"California","Hooded Oriole,House Finch,Scaly-Breasted Munia",1
"California","Hooded Oriole,House Sparrow,Mountain Chickadee",1
"California","Hooded Oriole,House Sparrow,Stellers Jay",1
"California","Hooded Oriole,Lawrences Goldfinch",1
"California","Hooded Oriole,Lazuli Bunting",1
"California","Hooded Oriole,Mourning Dove,Scaly-Breasted Munia",1
"California","Hooded Oriole,Northern Cardinal",1
"California","Hooded Oriole,Nuttalls Woodpecker",1
"California","Hooded Oriole,Orange-Crowned Warbler",1
"California","Hooded Oriole,Pygmy Nuthatch",1
"California","Hooded Oriole,Red-Breasted Sapsucker",1
"California","Hooded Oriole,Red-Winged Blackbird,Spotted Towhee",1
"California","Hooded Oriole,Rose-Ringed Parakeet",1
"California","Hooded Oriole,Scaly-Breasted Munia,Stellers Jay",1
"California","Hooded Oriole,Scaly-Breasted Munia,White-Winged Dove",1
"California","Hooded Oriole,Scotts Oriole",1
"California","Hooded Oriole,Tyrant Flycatcher",1
"California","Hooded Oriole,Western Tanager",1
"California","Hooded Oriole,White-Headed Woodpecker",1
"California","Hooded Oriole,Yellow-Bellied Sapsucker",1
"California","House Finch,House Sparrow,Lewiss Woodpecker",1
"California","House Finch,House Sparrow,Mourning Dove",1
"California","House Finch,House Sparrow,Northern Red Bishop",1
"California","House Finch,House Sparrow,Pine Siskin",1
"California","House Finch,House Sparrow,Scaly-Breasted Munia",1
"California","House Finch,House Sparrow,White-Crowned Sparrow",1
"California","House Finch,House Sparrow,White-Winged Dove",1
"California","House Finch,House Wren",1
"California","House Finch,Ladder-Backed Woodpecker",1
"California","House Finch,Lark Sparrow,Red-Breasted Sapsucker",1
"California","House Finch,Lawrences Goldfinch,Lewiss Woodpecker",1
"California","House Finch,Lawrences Goldfinch,Mourning Dove",1
"California","House Finch,Lawrences Goldfinch,Northern Cardinal",1
"California","House Finch,Lawrences Goldfinch,Pine Siskin",1
"California","House Finch,Lesser Goldfinch,Pine Siskin",1
"California","House Finch,Lesser Goldfinch,Rose-Ringed Parakeet",1
"California","House Finch,Lesser Goldfinch,Scaly-Breasted Munia",1
"California","House Finch,Lesser Goldfinch,Townsends Warbler",1
"California","House Finch,Lesser Goldfinch,Western Tanager",1
"California","House Finch,Lesser Goldfinch,White-Crowned Sparrow",1
"California","House Finch,Lesser Goldfinch,White-Winged Dove",1
"California","House Finch,Lewiss Woodpecker,White-Headed Woodpecker",1
"California","House Finch,Monk Parakeet",1
"California","House Finch,Mountain Chickadee,Pine Siskin",1
"California","House Finch,Northern Cardinal,Purple Finch",1
"California","House Finch,Northern Red Bishop,Scaly-Breasted Munia",1
"California","House Finch,Orchard Oriole",1
"California","House Finch,Painted Bunting",1
"California","House Finch,Pine Siskin,Purple Finch,Song Sparrow",1
"California","House Finch,Pine Siskin,Red Crossbill",1
"California","House Finch,Pine Siskin,White-Winged Dove",1
"California","House Finch,Purple Finch,Red Crossbill",1
"California","House Finch,Purple Finch,Varied Bunting",1
"California","House Finch,Red Crossbill,Spotted Towhee",1
"California","House Finch,Red-Breasted Nuthatch",1
"California","House Finch,Red-Whiskered Bulbul,Scaly-Breasted Munia",1
"California","House Finch,Varied Thrush",1
"California","House Sparrow,Lark Sparrow,Red-Winged Blackbird",1
"California","House Sparrow,Lark Sparrow,Spotted Towhee",1
"California","House Sparrow,Lesser Goldfinch,Mountain Chickadee",1
"California","House Sparrow,Mountain Chickadee,Pinyon Jay",1
"California","House Sparrow,Mourning Dove,Northern Cardinal",1
"California","House Sparrow,Mourning Dove,Scaly-Breasted Munia",1
"California","House Sparrow,Mourning Dove,Spotted Towhee",1
"California","House Sparrow,Northern Red Bishop",1
"California","House Sparrow,Orange-Crowned Warbler",1
"California","House Sparrow,Pileated Woodpecker",1
"California","House Sparrow,Purple Finch,Red-Winged Blackbird",1
"California","House Sparrow,Purple Finch,White-Crowned Sparrow",1
"California","House Sparrow,Ruddy Ground Dove",1
"California","House Sparrow,Scaly-Breasted Munia,Spotted Towhee",1
"California","House Sparrow,Scaly-Breasted Munia,White-Crowned Sparrow",1
"California","House Sparrow,Spotted Dove",1
"California","House Sparrow,Townsends Warbler,White-Crowned Sparrow",1
"California","House Sparrow,Western Bluebird",1
"California","House Sparrow,White-Throated Sparrow",1
"California","House Sparrow,Woodhouses Scrub-Jay",1
"California","House Wren,Lincolns Sparrow",1
"California","House Wren,Mountain Chickadee",1
"California","House Wren,Summer Tanager",1
"California","House Wren,White-Crowned Sparrow",1
"California","Hummingbird,Lesser Goldfinch",1
"California","Hummingbird,Lesser Goldfinch,Mountain Chickadee",1
"California","Hummingbird,Lewiss Woodpecker,Spotted Towhee",1
"California","Hummingbird,Pine Siskin",1
"California","Hummingbird,Purple Finch",1
"California","Hummingbird,Varied Bunting",1
"California","Ladder-Backed Woodpecker,Scaly-Breasted Munia",1
"California","Lark Sparrow,Lawrences Goldfinch",1
"California","Lark Sparrow,Nuttalls Woodpecker",1
"California","Lark Sparrow,Pine Grosbeak",1
"California","Lark Sparrow,Pinyon Jay",1
"California","Lark Sparrow,Red-Winged Blackbird",1
"California","Lark Sparrow,Rufous-Crowned Sparrow",1
"California","Lark Sparrow,Varied Bunting",1
"California","Lawrences Goldfinch,Lazuli Bunting",1
"California","Lawrences Goldfinch,Lesser Goldfinch,Orange-Crowned Warbler",1
"California","Lawrences Goldfinch,Lewiss Woodpecker",1
"California","Lawrences Goldfinch,Northern Cardinal,Pine Siskin",1
"California","Lawrences Goldfinch,Orange-Crowned Warbler",1
"California","Lawrences Goldfinch,Red-Winged Blackbird",1
"California","Lawrences Goldfinch,Stellers Jay",1
"California","Lawrences Goldfinch,Summer Tanager",1
"California","Lawrences Goldfinch,Varied Bunting",1
"California","Lazuli Bunting,Lesser Goldfinch,White-Winged Dove",1
"California","Lazuli Bunting,Mountain Bluebird",1
"California","Lazuli Bunting,Mountain Chickadee",1
"California","Lazuli Bunting,Nuttalls Woodpecker",1
"California","Lazuli Bunting,Red Crossbill",1
"California","Lazuli Bunting,Red-Breasted Sapsucker",1
"California","Lazuli Bunting,Song Sparrow",1
"California","Lazuli Bunting,Stellers Jay",1
"California","Lazuli Bunting,White-Breasted Nuthatch",1
"California","Lazuli Bunting,White-Winged Dove",1
"California","Lesser Goldfinch,Lewiss Woodpecker,Scaly-Breasted Munia",1
"California","Lesser Goldfinch,Mourning Dove,Purple Finch",1
"California","Lesser Goldfinch,Northern Mockingbird",1
